term,pos,term_1,pos_1,tf,Entity,Named entity,entity,parent_class,class,is_amenity,type,selected,,,,
bedroom,NOUN,floor,NOUN,9,,,bedroom floor,,,,,no,,,,
centre,NOUN,town,NOUN,9,,,centre town,,,,,no,,,,
coffee,NOUN,maker,NOUN,9,,,coffee maker,,,,,no,,,,
villasimius,NOUN,km,NOUN,9,,,villasimius km,,,,,no,,,,
access,NOUN,garden,NOUN,9,,,access garden,,,,,no,,,,
suite,NOUN,shower,NOUN,9,,,suite shower,,,,,no,,,,
deck,NOUN,chair,NOUN,9,,,deck chair,,,,,no,,,,
oristano,PROPN,west,NOUN,9,,,oristano west,,,,,no,,,,
row,NOUN,house,NOUN,9,,,row house,,,,,no,,,,
shop,NOUN,bus,NOUN,9,,,shop bus,,,,,no,,,,
bed,NOUN,wardrobe,NOUN,9,,,bed wardrobe,,,,,no,,,,
area,NOUN,bed,NOUN,9,,,area bed,,,,,no,,,,
access,NOUN,road,NOUN,9,,,access road,,,,,no,,,,
island,NOUN,sardinia,NOUN,9,,,island sardinia,,,,,no,,,,
matrimoniale,NOUN,camera,NOUN,9,,,matrimoniale camera,,,,,no,,,,
budoni,NOUN,km,NOUN,9,,,budoni km,,,,,no,,,,
ice,NOUN,cream,NOUN,9,,,ice cream,,,,,no,,,,
centre,NOUN,minute,NOUN,9,,,centre minute,,,,,no,,,,
variety,NOUN,restaurant,NOUN,9,,,variety restaurant,,,,,no,,,,
osalla,NOUN,cala,NOUN,9,,,osalla cala,,,,,no,,,,
october,NOUN,security,NOUN,9,,,october security,,,,,no,,,,
stay,NOUN,june,NOUN,9,,,stay june,,,,,no,,,,
towel,NOUN,sheet,NOUN,9,,,towel sheet,,,,,no,,,,
cost,NOUN,euro,NOUN,9,,,cost euro,,,,,no,,,,
pool,NOUN,wifi,NOUN,9,,,pool wifi,,,,,no,,,,
garden,NOUN,pool,NOUN,9,,,garden pool,,,,,no,,,,
mari,PROPN,ermi,NOUN,9,,,mari ermi,,,,,no,,,,
restaurant,NOUN,minute,NOUN,9,,,restaurant minute,,,,,no,,,,
mountain,NOUN,sea,NOUN,9,,,mountain sea,,,,,no,,,,
house,NOUN,level,NOUN,9,,,house level,,,,,no,,,,
distance,NOUN,minute,NOUN,9,,,distance minute,,,,,no,,,,
piazza,NOUN,matteotti,NOUN,9,,,piazza matteotti,,,,,no,,,,
garden,NOUN,swimming,NOUN,9,,,garden swimming,,,,,no,,,,
centre,NOUN,village,NOUN,9,,,centre village,,,,,no,,,,
view,NOUN,pool,NOUN,9,,,view pool,,,,,no,,,,
o,NOUN,clock,NOUN,9,,,o clock,,,,,no,,,,
charge,NOUN,pet,NOUN,9,,,charge pet,,,,,no,,,,
station,NOUN,bus,NOUN,9,,,station bus,,,,,no,,,,
beach,NOUN,marina,NOUN,9,,,beach marina,,,,,no,,,,
selection,NOUN,restaurant,NOUN,9,,,selection restaurant,,,,,no,,,,
area,NOUN,km,NOUN,9,,,area km,,,,,no,,,,
ceiling,NOUN,fan,NOUN,9,,,ceiling fan,,,,,no,,,,
summer,NOUN,month,NOUN,9,,,summer month,,,,,no,,,,
cala,NOUN,liberotto,NOUN,9,,,cala liberotto,,,,,no,,,,
rena,PROPN,bianca,NOUN,9,,,rena bianca,,,,,no,,,,
area,NOUN,villa,NOUN,9,,,area villa,,,,,no,,,,
terrace,NOUN,house,NOUN,9,,,terrace house,,,,,no,,,,
km,NOUN,accommodation,NOUN,9,,,km accommodation,,,,,no,,,,
person,NOUN,towel,NOUN,9,,,person towel,,,,,no,,,,
kitchen,NOUN,master,NOUN,9,,,kitchen master,,,,,no,,,,
island,NOUN,budelli,NOUN,9,,,island budelli,,,,,no,,,,
total,NOUN,bed,NOUN,9,,,total bed,,,,,no,,,,
kitchenette,NOUN,living,NOUN,8,,,kitchenette living,,,,,no,,,,
pool,NOUN,terrace,NOUN,8,,,pool terrace,,,,,no,,,,
beach,NOUN,bosa,NOUN,8,,,beach bosa,,,,,no,,,,
pool,NOUN,minute,NOUN,8,,,pool minute,,,,,no,,,,
guest,NOUN,access,NOUN,8,,,guest access,,,,,no,,,,
place,NOUN,sardinia,NOUN,8,,,place sardinia,,,,,no,,,,
sardinia,NOUN,apartment,NOUN,8,,,sardinia apartment,,,,,no,,,,
conditioning,NOUN,wifi,NOUN,8,,,conditioning wifi,,,,,no,,,,
notch,NOUN,design,NOUN,8,,,notch design,,,,,no,,,,
state,NOUN,art,NOUN,8,,,state art,,,,,no,,,,
art,NOUN,adsl,NOUN,8,,,art adsl,,,,,no,,,,
adsl,NOUN,internet,NOUN,8,,,adsl internet,,,,,no,,,,
terrace,NOUN,floor,NOUN,8,,,terrace floor,,,,,no,,,,
garden,NOUN,bedroom,NOUN,8,,,garden bedroom,,,,,no,,,,
drive,NOUN,house,NOUN,8,,,drive house,,,,,no,,,,
alfresco,NOUN,dining,NOUN,8,,,alfresco dining,,,,,no,,,,
restaurant,NOUN,cafe,NOUN,8,,,restaurant cafe,,,,,no,,,,
city,NOUN,cagliari,PROPN,8,,,city cagliari,,,,,no,,,,
relaxation,NOUN,area,NOUN,8,,,relaxation area,,,,,no,,,,
floor,NOUN,kitchen,NOUN,8,,,floor kitchen,,,,,no,,,,
center,NOUN,city,NOUN,8,,,center city,,,,,no,,,,
conditioning,NOUN,bedroom,NOUN,8,,,conditioning bedroom,,,,,no,,,,
garden,NOUN,olive,NOUN,8,,,garden olive,,,,,no,,,,
house,NOUN,beach,NOUN,8,,,house beach,,,,,no,,,,
person,NOUN,night,NOUN,8,,,person night,,,,,no,,,,
room,NOUN,people,NOUN,8,,,room people,,,,,no,,,,
shower,NOUN,wc,NOUN,8,,,shower wc,,,,,no,,,,
wifi,NOUN,internet,NOUN,8,,,wifi internet,,,,,no,,,,
tea,NOUN,coffee,NOUN,8,,,tea coffee,,,,,no,,,,
floor,NOUN,lift,NOUN,8,,,floor lift,,,,,no,,,,
town,NOUN,beach,NOUN,8,,,town beach,,,,,no,,,,
bathroom,NOUN,villa,NOUN,8,,,bathroom villa,,,,,no,,,,
city,NOUN,oristano,NOUN,8,,,city oristano,,,,,no,,,,
bank,NOUN,pharmacy,NOUN,8,,,bank pharmacy,,,,,no,,,,
arena,NOUN,km,NOUN,8,,,arena km,,,,,no,,,,
beach,NOUN,sinis,NOUN,8,,,beach sinis,,,,,no,,,,
municipality,NOUN,cuglieri,NOUN,8,,,municipality cuglieri,,,,,no,,,,
table,NOUN,people,NOUN,8,,,table people,,,,,no,,,,
alghero,NOUN,airport,NOUN,8,,,alghero airport,,,,,no,,,,
sofa,NOUN,kitchen,NOUN,8,,,sofa kitchen,,,,,no,,,,
street,NOUN,parking,NOUN,8,,,street parking,,,,,no,,,,
km,NOUN,puntaldia,NOUN,8,,,km puntaldia,,,,,no,,,,
shop,NOUN,café,NOUN,8,,,shop café,,,,,no,,,,
café,NOUN,restaurant,NOUN,8,,,café restaurant,,,,,no,,,,
teodoro,NOUN,km,NOUN,8,,,teodoro km,,,,,no,,,,
outdoor,NOUN,shower,NOUN,8,,,outdoor shower,,,,,no,,,,
village,NOUN,km,NOUN,8,,,village km,,,,,no,,,,
isola,NOUN,rossa,NOUN,8,,,isola rossa,,,,,no,,,,
breakfast,NOUN,dinner,NOUN,8,,,breakfast dinner,,,,,no,,,,
town,NOUN,stintino,NOUN,8,,,town stintino,,,,,no,,,,
family,NOUN,vacation,NOUN,8,,,family vacation,,,,,no,,,,
tv,NOUN,room,NOUN,8,,,tv room,,,,,no,,,,
village,NOUN,swimming,NOUN,8,,,village swimming,,,,,no,,,,
pedestrian,NOUN,area,NOUN,8,,,pedestrian area,,,,,no,,,,
east,NOUN,sardinia,NOUN,8,,,east sardinia,,,,,no,,,,
beach,NOUN,metre,NOUN,8,,,beach metre,,,,,no,,,,
cagliari,PROPN,km,NOUN,8,,,cagliari km,,,,,no,,,,
restaurant,NOUN,market,NOUN,8,,,restaurant market,,,,,no,,,,
bathroom,NOUN,sink,NOUN,8,,,bathroom sink,,,,,no,,,,
bar,NOUN,supermarket,NOUN,8,,,bar supermarket,,,,,no,,,,
tanaunella,NOUN,km,NOUN,8,,,tanaunella km,,,,,no,,,,
beach,NOUN,town,NOUN,8,,,beach town,,,,,no,,,,
attention,NOUN,detail,NOUN,8,,,attention detail,,,,,no,,,,
guest,NOUN,bathroom,NOUN,8,,,guest bathroom,,,,,no,,,,
con,NOUN,vista,NOUN,8,,,con vista,,,,,no,,,,
location,NOUN,cala,PROPN,8,,,location cala,,,,,no,,,,
cartoe,NOUN,example,NOUN,8,,,cartoe example,,,,,no,,,,
view,NOUN,coast,NOUN,8,,,view coast,,,,,no,,,,
airport,NOUN,port,NOUN,8,,,airport port,,,,,no,,,,
porto,PROPN,taverna,NOUN,8,,,porto taverna,,,,,no,,,,
bike,NOUN,minute,NOUN,8,,,bike minute,,,,,no,,,,
gas,NOUN,water,NOUN,8,,,gas water,,,,,no,,,,
shopping,NOUN,area,NOUN,8,,,shopping area,,,,,no,,,,
vacation,NOUN,rental,NOUN,8,,,vacation rental,,,,,no,,,,
view,NOUN,bedroom,NOUN,8,,,view bedroom,,,,,no,,,,
market,NOUN,bar,NOUN,8,,,market bar,,,,,no,,,,
sun,NOUN,bed,NOUN,8,,,sun bed,,,,,no,,,,
fi,NOUN,connection,NOUN,8,,,fi connection,,,,,no,,,,
beach,NOUN,coast,NOUN,8,,,beach coast,,,,,no,,,,
centre,NOUN,cagliari,PROPN,8,,,centre cagliari,,,,,no,,,,
gas,NOUN,cooker,NOUN,8,,,gas cooker,,,,,no,,,,
restaurant,NOUN,min,NOUN,8,,,restaurant min,,,,,no,,,,
beach,NOUN,north,NOUN,8,,,beach north,,,,,no,,,,
parcheggio,NOUN,privato,NOUN,8,,,parcheggio privato,,,,,no,,,,
conca,NOUN,verde,PROPN,8,,,conca verde,,,,,no,,,,
bathroom,NOUN,bath,NOUN,8,,,bathroom bath,,,,,no,,,,
people,NOUN,house,NOUN,8,,,people house,,,,,no,,,,
gas,NOUN,stove,NOUN,8,,,gas stove,,,,,no,,,,
oven,NOUN,microwave,NOUN,8,,,oven microwave,,,,,no,,,,
nature,NOUN,sea,NOUN,8,,,nature sea,,,,,no,,,,
san,NOUN,pantaleo,NOUN,8,,,san pantaleo,,,,,no,,,,
room,NOUN,garden,NOUN,8,,,room garden,,,,,no,,,,
beach,NOUN,access,NOUN,8,,,beach access,,,,,no,,,,
facility,NOUN,restaurant,NOUN,8,,,facility restaurant,,,,,no,,,,
charge,NOUN,bed,NOUN,8,,,charge bed,,,,,no,,,,
payment,NOUN,day,NOUN,8,,,payment day,,,,,no,,,,
airport,NOUN,min,NOUN,8,,,airport min,,,,,no,,,,
bedroom,NOUN,terrace,NOUN,8,,,bedroom terrace,,,,,no,,,,
cable,NOUN,tv,NOUN,8,,,cable tv,,,,,no,,,,
pool,NOUN,jacuzzi,NOUN,8,,,pool jacuzzi,,,,,no,,,,
machine,NOUN,bathroom,NOUN,8,,,machine bathroom,,,,,no,,,,
service,NOUN,parking,NOUN,8,,,service parking,,,,,no,,,,
garden,NOUN,beach,NOUN,8,,,garden beach,,,,,no,,,,
point,NOUN,diving,NOUN,8,,,point diving,,,,,no,,,,
shower,NOUN,window,NOUN,8,,,shower window,,,,,no,,,,
property,NOUN,pet,NOUN,8,,,property pet,,,,,no,,,,
al,PROPN,mare,NOUN,8,,,al mare,,,,,no,,,,
machine,NOUN,tv,NOUN,8,,,machine tv,,,,,no,,,,
tv,NOUN,barbecue,NOUN,8,,,tv barbecue,,,,,no,,,,
holiday,NOUN,beach,NOUN,8,,,holiday beach,,,,,no,,,,
lounge,NOUN,kitchen,NOUN,7,,,lounge kitchen,,,,,no,,,,
beach,NOUN,sardegna,NOUN,7,,,beach sardegna,,,,,no,,,,
sea,NOUN,garden,NOUN,7,,,sea garden,,,,,no,,,,
internet,NOUN,wifi,NOUN,7,,,internet wifi,,,,,no,,,,
hill,NOUN,minute,NOUN,7,,,hill minute,,,,,no,,,,
shower,NOUN,air,NOUN,7,,,shower air,,,,,no,,,,
beach,NOUN,island,NOUN,7,,,beach island,,,,,no,,,,
shop,NOUN,service,NOUN,7,,,shop service,,,,,no,,,,
room,NOUN,washing,NOUN,7,,,room washing,,,,,no,,,,
self,NOUN,catering,NOUN,7,,,self catering,,,,,no,,,,
city,NOUN,beach,NOUN,7,,,city beach,,,,,no,,,,
garden,NOUN,meter,NOUN,7,,,garden meter,,,,,no,,,,
summer,NOUN,winter,NOUN,7,,,summer winter,,,,,no,,,,
village,NOUN,minute,NOUN,7,,,village minute,,,,,no,,,,
city,NOUN,sant,NOUN,7,,,city sant,,,,,no,,,,
village,NOUN,hill,NOUN,7,,,village hill,,,,,no,,,,
time,NOUN,year,NOUN,7,,,time year,,,,,no,,,,
giardino,NOUN,e,NOUN,7,,,giardino e,,,,,no,,,,
pool,NOUN,parking,NOUN,7,,,pool parking,,,,,no,,,,
airport,NOUN,olbia,PROPN,7,,,airport olbia,,,,,no,,,,
olbia,PROPN,km,NOUN,7,,,olbia km,,,,,no,,,,
internet,NOUN,tablet,NOUN,7,,,internet tablet,,,,,no,,,,
tablet,NOUN,netflix,NOUN,7,,,tablet netflix,,,,,no,,,,
oasis,NOUN,peace,NOUN,7,,,oasis peace,,,,,no,,,,
cagliari,NOUN,km,NOUN,7,,,cagliari km,,,,,no,,,,
restaurant,NOUN,café,NOUN,7,,,restaurant café,,,,,no,,,,
bedroom,NOUN,ground,NOUN,7,,,bedroom ground,,,,,no,,,,
pizzeria,NOUN,restaurant,NOUN,7,,,pizzeria restaurant,,,,,no,,,,
park,NOUN,house,NOUN,7,,,park house,,,,,no,,,,
beach,NOUN,equipment,NOUN,7,,,beach equipment,,,,,no,,,,
wc,NOUN,bidet,NOUN,7,,,wc bidet,,,,,no,,,,
minimum,NOUN,stay,NOUN,7,,,minimum stay,,,,,no,,,,
km,NOUN,house,NOUN,7,,,km house,,,,,no,,,,
bath,NOUN,shower,NOUN,7,,,bath shower,,,,,no,,,,
city,NOUN,life,NOUN,7,,,city life,,,,,no,,,,
palau,NOUN,km,NOUN,7,,,palau km,,,,,no,,,,
baby,NOUN,bed,NOUN,7,,,baby bed,,,,,no,,,,
supermarket,NOUN,pharmacy,NOUN,7,,,supermarket pharmacy,,,,,no,,,,
barbecue,NOUN,garden,NOUN,7,,,barbecue garden,,,,,no,,,,
palau,NOUN,minute,NOUN,7,,,palau minute,,,,,no,,,,
beach,NOUN,salina,NOUN,7,,,beach salina,,,,,no,,,,
grocery,NOUN,shop,NOUN,7,,,grocery shop,,,,,no,,,,
restaurant,NOUN,club,NOUN,7,,,restaurant club,,,,,no,,,,
beach,NOUN,location,NOUN,7,,,beach location,,,,,no,,,,
stone,NOUN,throw,NOUN,7,,,stone throw,,,,,no,,,,
puntaldia,NOUN,marina,NOUN,7,,,puntaldia marina,,,,,no,,,,
pizzeria,NOUN,km,NOUN,7,,,pizzeria km,,,,,no,,,,
chair,NOUN,table,NOUN,7,,,chair table,,,,,no,,,,
view,NOUN,restaurant,NOUN,7,,,view restaurant,,,,,no,,,,
alghero,NOUN,minute,NOUN,7,,,alghero minute,,,,,no,,,,
minute,NOUN,alghero,NOUN,7,,,minute alghero,,,,,no,,,,
beach,NOUN,center,NOUN,7,,,beach center,,,,,no,,,,
guest,NOUN,room,NOUN,7,,,guest room,,,,,no,,,,
centre,NOUN,min,NOUN,7,,,centre min,,,,,no,,,,
beach,NOUN,holiday,NOUN,7,,,beach holiday,,,,,no,,,,
area,NOUN,apartment,NOUN,7,,,area apartment,,,,,no,,,,
distance,NOUN,apartment,NOUN,7,,,distance apartment,,,,,no,,,,
view,NOUN,kitchen,NOUN,7,,,view kitchen,,,,,no,,,,
mosquito,NOUN,net,NOUN,7,,,mosquito net,,,,,no,,,,
sea,NOUN,coast,NOUN,7,,,sea coast,,,,,no,,,,
metre,NOUN,sea,NOUN,7,,,metre sea,,,,,no,,,,
fi,NOUN,bed,NOUN,7,,,fi bed,,,,,no,,,,
garden,NOUN,kitchen,NOUN,7,,,garden kitchen,,,,,no,,,,
hill,NOUN,sea,NOUN,7,,,hill sea,,,,,no,,,,
group,NOUN,family,NOUN,7,,,group family,,,,,no,,,,
pool,NOUN,bedroom,NOUN,7,,,pool bedroom,,,,,no,,,,
summer,NOUN,night,NOUN,7,,,summer night,,,,,no,,,,
cala,NOUN,ambra,NOUN,7,,,cala ambra,,,,,no,,,,
bianca,NOUN,sea,NOUN,7,,,bianca sea,,,,,no,,,,
towel,NOUN,person,NOUN,7,,,towel person,,,,,no,,,,
bathroom,NOUN,person,NOUN,7,,,bathroom person,,,,,no,,,,
aldia,NOUN,puntaldia,NOUN,7,,,aldia puntaldia,,,,,no,,,,
dish,NOUN,washer,NOUN,7,,,dish washer,,,,,no,,,,
view,NOUN,village,NOUN,7,,,view village,,,,,no,,,,
kitchen,NOUN,veranda,NOUN,7,,,kitchen veranda,,,,,no,,,,
shower,NOUN,barbecue,NOUN,7,,,shower barbecue,,,,,no,,,,
matrimoniale,NOUN,e,NOUN,7,,,matrimoniale e,,,,,no,,,,
middle,NOUN,nature,NOUN,7,,,middle nature,,,,,no,,,,
car,NOUN,rental,NOUN,7,,,car rental,,,,,no,,,,
kitchen,NOUN,air,NOUN,7,,,kitchen air,,,,,no,,,,
centre,NOUN,island,NOUN,7,,,centre island,,,,,no,,,,
terrace,NOUN,bedroom,NOUN,7,,,terrace bedroom,,,,,no,,,,
emerald,NOUN,coast,NOUN,7,,,emerald coast,,,,,no,,,,
anna,NOUN,beach,NOUN,7,,,anna beach,,,,,no,,,,
beach,NOUN,tanaunella,NOUN,7,,,beach tanaunella,,,,,no,,,,
location,NOUN,minute,NOUN,7,,,location minute,,,,,no,,,,
spiaggia,NOUN,dell,NOUN,7,,,spiaggia dell,,,,,no,,,,
bed,NOUN,sheet,NOUN,7,,,bed sheet,,,,,no,,,,
residence,NOUN,lu,NOUN,7,,,residence lu,,,,,no,,,,
lu,NOUN,nibareddu,NOUN,7,,,lu nibareddu,,,,,no,,,,
montepetrosu,NOUN,village,NOUN,7,,,montepetrosu village,,,,,no,,,,
tavolara,NOUN,beach,NOUN,7,,,tavolara beach,,,,,no,,,,
minute,NOUN,cost,NOUN,7,,,minute cost,,,,,no,,,,
cost,NOUN,gas,NOUN,7,,,cost gas,,,,,no,,,,
sheet,NOUN,tv,NOUN,7,,,sheet tv,,,,,no,,,,
price,NOUN,change,NOUN,7,,,price change,,,,,no,,,,
change,NOUN,bed,NOUN,7,,,change bed,,,,,no,,,,
euro,NOUN,towel,NOUN,7,,,euro towel,,,,,no,,,,
towel,NOUN,set,NOUN,7,,,towel set,,,,,no,,,,
set,NOUN,person,NOUN,7,,,set person,,,,,no,,,,
shuttle,NOUN,bus,NOUN,7,,,shuttle bus,,,,,no,,,,
wifi,NOUN,zone,NOUN,7,,,wifi zone,,,,,no,,,,
tour,NOUN,desk,NOUN,7,,,tour desk,,,,,no,,,,
tour,NOUN,excursion,NOUN,7,,,tour excursion,,,,,no,,,,
excursion,NOUN,football,NOUN,7,,,excursion football,,,,,no,,,,
football,NOUN,tennis,NOUN,7,,,football tennis,,,,,no,,,,
court,NOUN,restaurant,NOUN,7,,,court restaurant,,,,,no,,,,
pizzeria,NOUN,bbq,NOUN,7,,,pizzeria bbq,,,,,no,,,,
bbq,NOUN,seaview,NOUN,7,,,bbq seaview,,,,,no,,,,
seaview,NOUN,restaurant,NOUN,7,,,seaview restaurant,,,,,no,,,,
bar,NOUN,tavernetta,NOUN,7,,,bar tavernetta,,,,,no,,,,
tavernetta,NOUN,beach,NOUN,7,,,tavernetta beach,,,,,no,,,,
sardinia,NOUN,beach,NOUN,7,,,sardinia beach,,,,,no,,,,
train,NOUN,bus,NOUN,7,,,train bus,,,,,no,,,,
market,NOUN,shop,NOUN,7,,,market shop,,,,,no,,,,
villa,NOUN,beach,NOUN,7,,,villa beach,,,,,no,,,,
summer,NOUN,evening,NOUN,7,,,summer evening,,,,,no,,,,
bedroom,NOUN,room,NOUN,7,,,bedroom room,,,,,no,,,,
village,NOUN,bar,NOUN,7,,,village bar,,,,,no,,,,
restaurant,NOUN,hotel,NOUN,7,,,restaurant hotel,,,,,no,,,,
beach,NOUN,villasimius,NOUN,7,,,beach villasimius,,,,,no,,,,
holiday,NOUN,friend,NOUN,7,,,holiday friend,,,,,no,,,,
villa,NOUN,minute,NOUN,7,,,villa minute,,,,,no,,,,
center,NOUN,km,NOUN,7,,,center km,,,,,no,,,,
art,NOUN,culture,NOUN,7,,,art culture,,,,,no,,,,
dining,NOUN,living,NOUN,7,,,dining living,,,,,no,,,,
total,NOUN,people,NOUN,7,,,total people,,,,,no,,,,
chair,NOUN,living,NOUN,7,,,chair living,,,,,no,,,,
night,NOUN,life,NOUN,7,,,night life,,,,,no,,,,
gulf,NOUN,asinara,NOUN,7,,,gulf asinara,,,,,no,,,,
beach,NOUN,world,NOUN,7,,,beach world,,,,,no,,,,
bosa,NOUN,area,NOUN,7,,,bosa area,,,,,no,,,,
complex,NOUN,house,NOUN,7,,,complex house,,,,,no,,,,
fireplace,NOUN,living,NOUN,7,,,fireplace living,,,,,no,,,,
fruit,NOUN,vegetable,NOUN,7,,,fruit vegetable,,,,,no,,,,
apartment,NOUN,meter,NOUN,7,,,apartment meter,,,,,no,,,,
sport,NOUN,activity,NOUN,7,,,sport activity,,,,,no,,,,
mountain,NOUN,view,NOUN,7,,,mountain view,,,,,no,,,,
seaside,NOUN,town,NOUN,7,,,seaside town,,,,,no,,,,
sea,NOUN,hill,NOUN,7,,,sea hill,,,,,no,,,,
kitchen,NOUN,gas,NOUN,7,,,kitchen gas,,,,,no,,,,
place,NOUN,holiday,NOUN,7,,,place holiday,,,,,no,,,,
barbecue,NOUN,parking,NOUN,7,,,barbecue parking,,,,,no,,,,
center,NOUN,min,NOUN,7,,,center min,,,,,no,,,,
level,NOUN,villa,NOUN,7,,,level villa,,,,,no,,,,
area,NOUN,cala,NOUN,7,,,area cala,,,,,no,,,,
veranda,NOUN,bathroom,NOUN,7,,,veranda bathroom,,,,,no,,,,
village,NOUN,sea,NOUN,7,,,village sea,,,,,no,,,,
holiday,NOUN,tranquility,NOUN,7,,,holiday tranquility,,,,,no,,,,
km,NOUN,minute,NOUN,7,,,km minute,,,,,no,,,,
table,NOUN,seat,NOUN,7,,,table seat,,,,,no,,,,
min,NOUN,foot,NOUN,7,,,min foot,,,,,no,,,,
home,NOUN,heart,NOUN,7,,,home heart,,,,,no,,,,
car,NOUN,bed,NOUN,7,,,car bed,,,,,no,,,,
beach,NOUN,cove,NOUN,7,,,beach cove,,,,,no,,,,
view,NOUN,maddalena,PROPN,7,,,view maddalena,,,,,no,,,,
restaurant,NOUN,house,NOUN,7,,,restaurant house,,,,,no,,,,
parking,NOUN,garden,NOUN,7,,,parking garden,,,,,no,,,,
bed,NOUN,garden,NOUN,7,,,bed garden,,,,,no,,,,
bathroom,NOUN,tv,NOUN,7,,,bathroom tv,,,,,no,,,,
cot,NOUN,baby,NOUN,7,,,cot baby,,,,,no,,,,
loft,NOUN,bed,NOUN,7,,,loft bed,,,,,no,,,,
poetto,NOUN,minute,NOUN,7,,,poetto minute,,,,,no,,,,
conditioning,NOUN,living,NOUN,7,,,conditioning living,,,,,no,,,,